French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
vont,will
pendant,while
aucune,any
place,square
parle,speak
compris,understood
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
aimerais,would like to
aujourd'hui,today
enfin,finally
espère,hope
eau,water
nouvelle,new
arrêter,Stop
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
