,French,English
0,chercher,search
1,police,police
2,demande,request
3,mois,month
4,frère,brother
5,laisser,let
6,laisse,leash
7,eux,them
8,arrivé,come
9,devrait,should
10,bébé,baby
11,longtemps,long time
12,heures,hours
13,vont,will
14,revoir,meet again
15,aucune,any
16,compris,understood
17,savais,knew
18,étaient,were
19,voici,here is
20,pourrais,could
21,affaire,case
22,leurs,their
23,corps,body
24,endroit,place
25,yeux,eyes
26,écoute,listen
27,dont,whose
28,main,hand
29,première,first
30,côté,side
31,vieux,old
32,sois,be
33,matin,morning
34,tellement,so much
35,enfant,child
36,point,point
37,venu,came
38,devant,in front of
39,minutes,minutes
40,chambre,bedroom
41,mis,placed
42,droit,law
43,mari,husband
44,cause,cause
45,enfin,finally
46,espère,hope
47,eau,water
48,parti,left
49,boulot,job
50,arrêter,Stop
51,compte,account
52,donne,given
53,loin,far
54,fin,end
55,gros,large
56,plutôt,rather
57,aura,will have
